section030	
0.999894702	3.91E-05
0.999716004	0.000105593
0.999410425	0.000219441
0.999047883	0.000354835
0.998654392	0.000502202
0.998231697	0.000661014
0.997855191	0.000802938
0.997378938	0.000983123
0.996915945	0.001159035
0.996392381	0.001358892
0.995932168	0.001535418
0.995442011	0.001724338
0.994370182	0.002140801
0.993605135	0.002440853
0.9926458	0.002820114
0.991823262	0.003147654
0.990689721	0.003602556
0.989715745	0.003996605
0.988485014	0.004498399
0.986781302	0.005198985
0.985055682	0.005913774
0.983053445	0.006747647
0.981352789	0.007458441
0.978778588	0.008536724
0.976016513	0.009693591
0.972010239	0.011364403
0.967241395	0.013335097
0.961438472	0.0157038
0.956633243	0.017640128
0.950520324	0.020070271
0.944877721	0.022283257
0.937768624	0.025036848
0.931167688	0.027566063
0.92277706	0.030752327
0.913628912	0.034199585
0.902861164	0.038228562
0.889141106	0.043320031
0.875553996	0.048323474
0.864204157	0.052469117
0.842772399	0.060197694
0.820032379	0.068236134
0.805088653	0.073415684
0.792555109	0.077687454
0.771757205	0.084615784
0.736461558	0.095870162
0.700259947	0.106668855
0.667074687	0.115806085
0.625620603	0.126050995
0.577152486	0.136223563
0.531416844	0.143958895
0.485262241	0.149860404
0.432096419	0.154202022
0.380028304	0.155723471
0.327922569	0.154284277
0.279091991	0.150092502
0.230114994	0.142931517
0.190405886	0.134528009
0.15426157	0.12433005
0.1176249	0.110917927
0.085693503	0.095870162
0.057588016	0.07887004
0.037716008	0.063500989
0.027876202	0.054215117
0.018237628	0.043320031
0.011715559	0.034199585
0.007843398	0.027566063
0.004360998	0.020070271
0.001528387	0.011364403
0.000701895	0.007458441
0.000217901	0.003996605
6.40E-05	0.002140801
9.25E-05	-0.002368242
0.000521529	-0.005513994
0.001285745	-0.008370372
0.00243082	-0.010953246
0.004360998	-0.013567124
0.007261173	-0.016048081
0.010229436	-0.017863735
0.013385986	-0.019377735
0.017440386	-0.020960196
0.022059586	-0.022438441
0.02625153	-0.02355845
0.033841947	-0.025194014
0.041184467	-0.02642326
0.049607214	-0.027520657
0.06280202	-0.028746067
0.080840285	-0.029723175
0.104844363	-0.030155813
0.1176249	-0.030090055
0.138557721	-0.029647733
0.165373108	-0.028612689
0.204721481	-0.026413962
0.235365439	-0.024308212
0.279091991	-0.020900532
0.327922569	-0.016730632
0.380028304	-0.012043221
0.419268955	-0.008437527
0.467987509	-0.003952835
0.514520232	0.000218809
0.577152486	0.00537971
0.625620603	0.008807233
0.667074687	0.011251865
0.711242824	0.013277072
0.748138429	0.014451932
0.792555109	0.015153122
0.837089739	0.014926239
0.866912588	0.014172795
0.884783678	0.013441907
0.906027735	0.012269823
0.913628912	0.011756845
0.931167688	0.010350628
0.944877721	0.008983486
0.95141465	0.008237709
0.956633243	0.00759233
0.962612817	0.006793336
0.968682371	0.005913774
0.97327876	0.005198985
0.977526241	0.004498399
0.980524166	0.003978517
0.983559652	0.003428635
0.985997904	0.002968764
0.987934305	0.002591355
0.989715745	0.002233738
0.991823262	0.001797071
0.993394115	0.001462848
0.994622429	0.001197023
0.995599161	0.000983123
0.996177436	0.000855561
0.996789955	0.00071979
0.997378938	0.000588669
0.997962015	0.000458381
0.998505255	0.000336613
0.998845887	0.000260092
0.999191198	0.0001824
0.999410425	0.000133016
0.999545815	0.000102497
0.999716004	6.41E-05
0.999894702	2.38E-05
