section040										
0.999834567	6.42E-05									
0.999720838	0.000108423									
0.999551365	0.000174326									
0.999351988	0.000251939									
0.999029755	0.000377572									
0.998678504	0.000514804									
0.99835958	0.000639675									
0.998084941	0.000747424									
0.997874838	0.000829993									
0.997659244	0.00091485									
0.997342868	0.001039623									
0.99709434	0.001137853									
0.996810642	0.001250221									
0.996364646	0.001427409									
0.995840631	0.001636468									
0.995031748	0.001961142									
0.994138153	0.002322713									
0.993420065	0.002615487									
0.992667346	0.002924394									
0.991938849	0.003225192									
0.990988695	0.003620125									
0.990087236	0.003997372									
0.988612664	0.004619044									
0.987506171	0.005088415									
0.985702132	0.005856936									
0.983515016	0.006791347									
0.981228247	0.007768809									
0.977559694	0.009332518									
0.974236761	0.010738496									
0.970247567	0.012407419									
0.966663821	0.013887073									
0.962148299	0.015724271									
0.957948581	0.01740552									
0.953678629	0.019087735									
0.947799946	0.021361283									
0.942334274	0.023437529									
0.933863128	0.026597744									
0.923754414	0.030298763									
0.914653943	0.033582431									
0.903827961	0.037441858									
0.889609293	0.042441055									
0.867919169	0.049929027									
0.853526539	0.054808534									
0.837874932	0.060025557									
0.812468155	0.06828148									
0.787852846	0.076026547									
0.756926222	0.085343119									
0.712497914	0.097844421									
0.681904987	0.105790167									
0.646326659	0.114240735									
0.596402065	0.124543667									
0.545502651	0.133070394									
0.4986082	0.139101005									
0.438307261	0.144185571									
0.393483843	0.145868538									
0.355875007	0.145771521									
0.326903199	0.144692024									
0.291300632	0.142123391									
0.253964491	0.137898072									
0.199005933	0.128354084									
0.165092128	0.12000681									
0.141381161	0.11280039									
0.118779578	0.10467966									
0.102294996	0.097844421									
0.082785145	0.088531669									
0.06432368	0.078179563									
0.049308763	0.06828148									
0.032413704	0.054808534									
0.015933468	0.037441858									
0.008513415	0.026597744									
0.004997128	0.019848904									
0.002611624	0.013887073									
0.000904704	0.007768809									
0.000263218	0.003997372									
3.40E-05	0.001427409									
0.000133503	-0.002401162									
0.00064103	-0.005026248									
0.00149283	-0.007448007									
0.003370179	-0.010618044									
0.0064084	-0.013480901									
0.011093274	-0.016136883									
0.015348931	-0.017806464									
0.019968574	-0.019223598									
0.028095261	-0.021125632									
0.034019913	-0.022184363									
0.040816322	-0.023148254									
0.046455017	-0.023788935									
0.05356563	-0.024434505									
0.06432368	-0.025130525									
0.07649486	-0.02559911									
0.09133496	-0.025826325									
0.102294996	-0.025801759									
0.118779578	-0.025519642									
0.130327016	-0.025177152									
0.150893572	-0.024330281									
0.168907952	-0.023387015									
0.191937988	-0.021967411									
0.216699448	-0.020233513									
0.239880426	-0.018461841									
0.260463276	-0.01679696									
0.281973747	-0.014986466									
0.303245728	-0.013141841									
0.331663994	-0.010618044									
0.355875007	-0.008434189									
0.393483843	-0.00501519									
0.438307261	-0.000947799									
0.4986082	0.004372256									
0.545502651	0.008215602									
0.596402065	0.011891275									
0.646326659	0.014841879									
0.681904987	0.016472241									
0.712497914	0.017520941									
0.756926222	0.018400073									
0.787852846	0.018495309									
0.812468155	0.018242707									
0.837874932	0.017640873									
0.853526539	0.017077017									
0.867919169	0.016430113									
0.889609293	0.015180553									
0.903827961	0.014156957									
0.914653943	0.013255408									
0.923754414	0.012406419									
0.933863128	0.011352661									
0.942334274	0.010365975									
0.947799946	0.0096717									
0.953678629	0.008870117									
0.957948581	0.0082502									
0.962148299	0.007607647									
0.966663821	0.006878135									
0.970247567	0.006269111									
0.974236761	0.005558437									
0.977559694	0.004938891									
0.981228247	0.004224289									
0.983515016	0.003761803									
0.985702132	0.003306657									
0.987506171	0.002921442									
0.988612664	0.002680571									
0.989840541	0.002408848									
0.990988695	0.002150469									
0.991938849	0.001933619									
0.992667346	0.001765638									
0.993420065	0.001590642									
0.994138153	0.001422323									
0.995031748	0.001210891									
0.995840631	0.00101762									
0.996364646	0.000891498									
0.996810642	0.000783617									
0.99709434	0.000714749									
0.997342868	0.000654267									
0.997618009	0.000587151									
0.997838929	0.000533144									
0.998084941	0.000472885									
0.998415319	0.000391772									
0.998678504	0.000327007									
0.999074002	0.000229447									
0.999393262	0.000150496									
0.999579348	0.000104401									
0.999735341	6.57E-05									
0.999869527	3.24E-05									
0.999917378	2.05E-05									
