section2015										
0.997370499	0.000815385									
0.995894733	0.001282617									
0.993904443	0.001926613									
0.992262227	0.002470879									
0.990584264	0.003038376									
0.988591645	0.003727338									
0.986967052	0.004300159									
0.984725859	0.005103476									
0.982841913	0.005788507									
0.980790152	0.006543387									
0.978829913	0.007272248									
0.976954931	0.007975552									
0.974323647	0.008971086									
0.971979092	0.009865187									
0.968704387	0.011123126									
0.965200139	0.012479134									
0.962010749	0.013720818									
0.958651914	0.015035225									
0.955129097	0.016420698									
0.951037615	0.018038085									
0.946882306	0.019689108									
0.942769863	0.02133071									
0.940070183	0.02241219									
0.935554716	0.024227729									
0.931383416	0.025912663									
0.923015119	0.029316416									
0.912989038	0.033432919									
0.899461392	0.039045006									
0.886173626	0.044611611									
0.871562843	0.05077139									
0.859879172	0.055712439									
0.84661063	0.061328494									
0.830515331	0.068128542									
0.815626788	0.07438303									
0.800024728	0.08087616									
0.784192824	0.087378674									
0.765593379	0.094879196									
0.742851791	0.103802025									
0.721035901	0.112059002									
0.691878063	0.122552744									
0.633418758	0.141342842									
0.59250723	0.152411308									
0.550907062	0.161729828									
0.513959136	0.168314931									
0.482519687	0.172630451									
0.457761239	0.175188176									
0.427396462	0.177295341									
0.389210645	0.178323133									
0.350024344	0.177463226									
0.315711854	0.175076432									
0.271774163	0.169701622									
0.221381142	0.160046116									
0.185879697	0.150608906									
0.157961387	0.141342842									
0.123752249	0.127331332									
0.093870568	0.112059002									
0.066824836	0.094879196									
0.048818579	0.08087616									
0.033241775	0.066184494									
0.023145142	0.054635466									
0.013542715	0.04102174									
0.00852665	0.031985564									
0.005095998	0.024227729									
0.002950515	0.018038085									
0.001487357	0.012479134									
0.000543593	0.007272248									
0.000155777	0.003727338									
0.000224991	-0.004200403									
0.000861575	-0.007978304									
0.002950515	-0.013523291									
0.005552355	-0.017141093									
0.00852665	-0.019990586									
0.013542715	-0.023476885									
0.019516806	-0.026527849									
0.024623666	-0.028559343									
0.031403928	-0.030736501									
0.038476518	-0.032592034									
0.046020742	-0.034247538									
0.053687965	-0.03566258									
0.062540359	-0.037017968									
0.069468018	-0.037907284									
0.081311702	-0.039145633									
0.088666041	-0.03976509									
0.106214346	-0.040866815									
0.133833169	-0.041761058									
0.174064144	-0.041761058									
0.208035881	-0.040916568									
0.235758604	-0.039806564									
0.284729367	-0.037157393									
0.315711854	-0.03513609									
0.350024344	-0.032662279									
0.389210645	-0.029602067									
0.427396462	-0.026431729									
0.471414167	-0.02262296									
0.503301868	-0.019809312									
0.550907062	-0.015614068									
0.59250723	-0.012043153									
0.633418758	-0.008676965									
0.660875363	-0.006511773									
0.691878063	-0.004177169									
0.742851791	-0.000639744									
0.800024728	0.002680084									
0.822672189	0.003743184									
0.842728232	0.004529227									
0.861709713	0.005114562									
0.880197498	0.005515023									
0.899461392	0.00571827									
0.907283376	0.00572688									
0.919699613	0.005642094									
0.931383416	0.00543685									
0.940070183	0.005188123									
0.946882306	0.00492854									
0.951306356	0.004726709									
0.955457711	0.004511508									
0.958651914	0.004327896									
0.962010749	0.004117069									
0.965200139	0.003899157									
0.968704387	0.003638506									
0.971979092	0.0033733									
0.974323647	0.003169661									
0.976954931	0.002926894									
0.978829913	0.002744511									
0.980790152	0.002545257									
0.982841913	0.002326898									
0.984725859	0.002116884									
0.986967052	0.001854058									
0.988591645	0.001653743									
0.990584264	0.001395239									
0.992262227	0.001166407									
0.993904443	0.000933461									
0.995894733	0.000639511									
0.997370499	0.000414019									
