section075										
0.999989036	3.87E-06									
0.999954204	1.62E-05									
0.999888801	3.92E-05									
0.999784692	7.60E-05									
0.999693975	0.000107964									
0.999636209	0.00012835									
0.999557463	0.000156143									
0.999478136	0.000184145									
0.999391803	0.000214626									
0.999298382	0.000247614									
0.999208674	0.000279297									
0.999130645	0.00030686									
0.99903048	0.000342249									
0.998887385	0.000392817									
0.998763695	0.00043654									
0.99863659	0.000481484									
0.998514564	0.000524643									
0.998382801	0.00057126									
0.998207153	0.000633426									
0.99800259	0.00070586									
0.997776707	0.000785888									
0.9975104	0.000880301									
0.997203919	0.000989048									
0.99685705	0.001112251									
0.99646884	0.001250305									
0.996005006	0.001415507									
0.995480297	0.001602755									
0.99480472	0.00184447									
0.994182478	0.00206779									
0.993411474	0.002345493									
0.992612879	0.002634351									
0.991729956	0.002955145									
0.990084179	0.003556733									
0.988861141	0.004006237									
0.986803115	0.004765356									
0.984806247	0.005502817									
0.982862883	0.006219485									
0.981335575	0.006781159									
0.979359339	0.007505007									
0.977165404	0.008303199									
0.975079026	0.009055494									
0.972426799	0.010000564									
0.969185306	0.011137248									
0.965088638	0.012545502									
0.960345805	0.014137641									
0.956028519	0.015552261									
0.951191215	0.017099387									
0.946894886	0.018443491									
0.942248495	0.019869978									
0.93577655	0.021815853									
0.92516716	0.024913331									
0.914619933	0.027896146									
0.906150001	0.030231315									
0.895589318	0.033071458									
0.882076018	0.036598335									
0.86623913	0.040586003									
0.847026521	0.045209084									
0.829420224	0.049231275									
0.809717724	0.053504545									
0.790612405	0.057455544									
0.76162218	0.06315709									
0.728017318	0.069373907									
0.690844993	0.075736057									
0.662009665	0.080257264									
0.617117415	0.086500368									
0.579124467	0.090989191									
0.533791885	0.09536427									
0.497214741	0.098099942									
0.44672625	0.100670836									
0.39181934	0.101818095									
0.338598862	0.101151614									
0.280257874	0.09814538									
0.235085122	0.093907253									
0.194902838	0.088455649									
0.164814898	0.083150196									
0.14121517	0.078132358									
0.115666442	0.071697082									
0.091098835	0.064315345									
0.067284901	0.055714499									
0.048848945	0.047693412									
0.034912109	0.040586003									
0.025645509	0.035116819									
0.01869376	0.030231315									
0.01257587	0.024913331									
0.008074877	0.019869978									
0.004550616	0.014650745									
0.00274546	0.011137248									
0.00110527	0.006781159									
0.000574373	0.004765356									
0.000143606	0.002345493									
2.23E-05	0.000989048									
9.88E-05	-0.001539035									
0.000384836	-0.00288096									
0.001004545	-0.004446648									
0.001907562	-0.005938344									
0.00274546	-0.00697033									
0.004176377	-0.008338079									
0.006568292	-0.010091441									
0.009015518	-0.011524524									
0.01257587	-0.013198334									
0.015546489	-0.014321423									
0.019297827	-0.015461608									
0.024120584	-0.016562116									
0.029657058	-0.017456467									
0.037259887	-0.018247056									
0.044521004	-0.018708694									
0.051808335	-0.019023285									
0.058960387	-0.019259533									
0.074306373	-0.01957012									
0.087317212	-0.019619073									
0.103035328	-0.019474646									
0.119231467	-0.019163618									
0.13594497	-0.018705811									
0.153858405	-0.018092385									
0.175128552	-0.017231109									
0.196247073	-0.016267363									
0.215821185	-0.015300739									
0.232049893	-0.014457528									
0.255321376	-0.013197813									
0.285092418	-0.011524524									
0.319217544	-0.009554746									
0.35624123	-0.007392613									
0.394610885	-0.00516188									
0.43326031	-0.002960644									
0.473260559	-0.000768039									
0.511208264	0.001195102									
0.546930104	0.002909133									
0.584412368	0.004537896									
0.612876339	0.005633884									
0.637760771	0.006474312									
0.668790843	0.007351996									
0.696145741	0.007955198									
0.728017318	0.008426188									
0.754802595	0.008592184									
0.781881846	0.008553925									
0.80106755	0.008400961									
0.821378436	0.008149407									
0.842501546	0.007830074									
0.856884902	0.007586049									
0.876922398	0.007199532									
0.890993851	0.006876566									
0.901426686	0.006595555									
0.914619933	0.006185677									
0.923852274	0.005853015									
0.932080694	0.005514017									
0.938119406	0.005234124									
0.942248495	0.005026317									
0.946894886	0.004775488									
0.952047766	0.004473664									
0.957818018	0.004101183									
0.961194417	0.003865106									
0.965088638	0.003576269									
0.969185306	0.003252779									
0.972426799	0.002981018									
0.975079026	0.002747109									
0.97795362	0.002481207									
0.981335575	0.002151426									
0.983557837	0.001924593									
0.98514186	0.001758122									
0.986347149	0.001628894									
0.987747787	0.001476087									
0.989235358	0.00131056									
0.99056962	0.001158749									
0.991729956	0.001023919									
0.992821487	0.00089468									
0.993726026	0.000785888									
0.994383784	0.00070586									
0.994974074	0.000633426									
0.995480297	0.00057088									
0.996005006	0.00050567									
0.996626867	0.000427934									
0.997203919	0.000355409									
0.997623032	0.000302525									
0.997917051	0.00026533									
0.99816957	0.000233327									
0.998316943	0.000214626									
0.998514564	0.000189522									
0.998663482	0.000170586									
0.998844003	0.000147611									
0.998966953	0.00013195									
0.999130645	0.000111085									
0.999269293	9.34E-05									
0.999391803	7.78E-05									
0.999478136	6.67E-05									
0.999565627	5.56E-05									
0.999636209	4.65E-05									
0.999693975	3.92E-05									
0.999772222	2.91E-05									
0.999853646	1.87E-05									
0.999913904	1.10E-05									
0.999954204	5.86E-06									
0.999989036	1.40E-06									
