section045										
0.999918136	3.17E-05									
0.999823427	6.83E-05									
0.999687389	0.000120989									
0.999559407	0.000170583									
0.99939842	0.000233017									
0.999261353	0.000286222									
0.999165473	0.000323465									
0.998993513	0.000390314									
0.998696638	0.000505894									
0.998349433	0.000641353									
0.998017053	0.000771328									
0.997642263	0.000918261									
0.997205525	0.001090005									
0.996761175	0.001265358									
0.996167011	0.001500865									
0.995377728	0.001815667									
0.994545339	0.002150235									
0.993425528	0.00260463									
0.992053476	0.003167753									
0.990833487	0.003673775									
0.988377833	0.004704357									
0.986542436	0.005480824									
0.98401187	0.006554478									
0.981283321	0.007713525									
0.977407879	0.009357185									
0.973152166	0.011144821									
0.968389838	0.013110458									
0.963563274	0.015064675									
0.955253668	0.018343892									
0.945958311	0.021890916									
0.933894687	0.02634707									
0.922572684	0.030419357									
0.91163953	0.034282163									
0.894358117	0.040285035									
0.874485499	0.047042869									
0.845820578	0.056539925									
0.808196211	0.06850938									
0.774732683	0.078636949									
0.729465561	0.091455734									
0.68354682	0.103300222									
0.630982302	0.115171262									
0.560114183	0.127982765									
0.49762729	0.136071001									
0.44605947	0.140381747									
0.389690246	0.142478046									
0.334858256	0.141609744									
0.283273823	0.137943758									
0.219485011	0.129156454									
0.166596874	0.11732841									
0.122606048	0.103300222									
0.081977671	0.085595783									
0.046827782	0.064390527									
0.026001953	0.047042869									
0.012610777	0.03165677									
0.009050134	0.02634707									
0.004721469	0.018343892									
0.001397108	0.009357185									
0.000245532	0.003673775									
5.98E-05	0.001815667									
0.000158326	-0.002373848									
0.000785515	-0.004983847									
0.001722077	-0.007163736									
0.003866074	-0.010212556									
0.007547932	-0.013175182									
0.012013658	-0.015412859									
0.01743867	-0.01730778									
0.026001953	-0.01944539									
0.046827782	-0.022449783									
0.081977671	-0.024235147									
0.122606048	-0.023872802									
0.166596874	-0.021963515									
0.219485011	-0.018513804									
0.283273823	-0.013458405									
0.334858256	-0.009018449									
0.389690246	-0.004177452									
0.44605947	0.000775889									
0.49762729	0.00515439									
0.560114183	0.010005589									
0.630982302	0.014506817									
0.68354682	0.016920339									
0.729465561	0.018256198									
0.774732683	0.018743087									
0.808196211	0.018511673									
0.845820578	0.017537006									
0.874485499	0.016225624									
0.894358117	0.014980964									
0.91163953	0.013630573									
0.922572684	0.012626211									
0.933894687	0.011441609									
0.945958311	0.009987076									
0.955253668	0.008708276									
0.963563274	0.00743832									
0.968389838	0.006637104									
0.973152166	0.005796576									
0.977407879	0.005001475									
0.981283321	0.004239562									
0.98401187	0.003680546									
0.986542436	0.003144799									
0.988377833	0.002745484									
0.990833487	0.002195997									
0.992053476	0.001916588									
0.993425528	0.001597935									
0.994600577	0.001321308									
0.995377728	0.001136152									
0.996167011	0.000946243									
0.996761175	0.000802067									
0.997205525	0.000693588									
0.997642263	0.000586442									
0.998017053	0.000494097									
0.998371399	0.000406464									
0.998696638	0.000325763									
0.998993513	0.000251886									
0.999165473	0.000209003									
0.999261353	0.000185065									
0.99939842	0.000150809									
0.999559407	0.000110524									
0.999687389	7.85E-05									
0.999823427	4.43E-05									
0.999918136	2.06E-05									
