section065										
0.999978507	8.13E-06									
0.999948851	1.94E-05									
0.999911406	3.35E-05									
0.999862724	5.20E-05									
0.999823253	6.69E-05									
0.999775867	8.49E-05									
0.999728057	0.000102967									
0.999660811	0.000128459									
0.9995887	0.000155809									
0.999532295	0.000177212									
0.999411531	0.000223067									
0.999301905	0.000264728									
0.999210879	0.000299346									
0.999084958	0.000347276									
0.998928231	0.000406995									
0.99861183	0.000527784									
0.998357683	0.000625033									
0.998030325	0.000750601									
0.997675496	0.00088711									
0.997175736	0.00108012									
0.996617038	0.001296967									
0.996127072	0.001488113									
0.995548111	0.001715188									
0.994897439	0.001971978									
0.994116211	0.002282479									
0.993131487	0.002676974									
0.992015309	0.00312755									
0.990915622	0.003574595									
0.989494743	0.004156235									
0.987503919	0.004976744									
0.985918946	0.005632469									
0.984243369	0.006326261									
0.982169821	0.00718378									
0.980173285	0.008006775									
0.977824894	0.008969423									
0.973299825	0.010799991									
0.968494311	0.012700625									
0.964965174	0.014067349									
0.960485988	0.015767334									
0.956006135	0.017429716									
0.9475384	0.020475255									
0.935538243	0.024624625									
0.924713562	0.028248697									
0.913508844	0.031911383									
0.90048856	0.036076888									
0.880653534	0.042267084									
0.864324032	0.047231386									
0.845651754	0.052762883									
0.824045946	0.058969553									
0.792319133	0.0677175									
0.759337935	0.076314214									
0.721979152	0.085414182									
0.682263859	0.094269907									
0.645265449	0.101672227									
0.5946467	0.110367372									
0.540276763	0.117774665									
0.479159972	0.123642085									
0.404364134	0.127127967									
0.336783036	0.126471934									
0.280229447	0.122760538									
0.230559031	0.116699656									
0.188717693	0.109129325									
0.159446266	0.102217747									
0.138882405	0.096431586									
0.117752619	0.08954714									
0.101316432	0.08341467									
0.088969295	0.078282318									
0.078024635	0.073293218									
0.064036753	0.06619614									
0.051480616	0.058969553									
0.040128155	0.051531697									
0.032388369	0.045812551									
0.025117854	0.039786183									
0.016949596	0.031911383									
0.010711463	0.024624625									
0.007205709	0.019663919									
0.00399358	0.014067349									
0.001794567	0.008969423									
0.000954687	0.006326261									
0.000437191	0.004156235									
0.000184197	0.002676974									
0.000184197	-0.001978126									
0.001113903	-0.004412277									
0.003285322	-0.007006793									
0.006066704	-0.008913796									
0.010366984	-0.010912429									
0.014857835	-0.012430164									
0.020008184	-0.013758431									
0.026854476	-0.01508005									
0.033996974	-0.016099532									
0.04272212	-0.017008089									
0.051480616	-0.017653513									
0.05989315	-0.018084766									
0.073451085	-0.018486752									
0.087938444	-0.018601833									
0.103310817	-0.018454131									
0.120033277	-0.018056438									
0.137181096	-0.017449588									
0.156485456	-0.016576955									
0.177406569	-0.01545498									
0.216772513	-0.012986837									
0.245640527	-0.010973459									
0.280229447	-0.008420226									
0.316459008	-0.005648807									
0.352806876	-0.002824687									
0.404364134	0.00116732									
0.479159972	0.006720261									
0.548204057	0.011321673									
0.601636028	0.014349872									
0.651098452	0.016591381									
0.682263859	0.017664111									
0.730003707	0.018718926									
0.765353389	0.018966923									
0.792319133	0.018809164									
0.824045946	0.018204302									
0.845651754	0.01749719									
0.864324032	0.016672813									
0.879627829	0.015838204									
0.90048856	0.014437846									
0.914545533	0.013289937									
0.92600772	0.012208851									
0.937320659	0.010989654									
0.9475384	0.009728727									
0.957556647	0.00832373									
0.963140786	0.007462675									
0.966769102	0.006869303									
0.971137447	0.006117093									
0.975537683	0.005316351									
0.978393984	0.004772812									
0.980688249	0.0043224									
0.983049155	0.003845815									
0.984995137	0.003442643									
0.986484331	0.00312755									
0.988566818	0.002676974									
0.990344759	0.002282479									
0.991717253	0.001971777									
0.993226797	0.001624565									
0.994116211	0.001417568									
0.995029442	0.001202964									
0.995711331	0.001041307									
0.996127072	0.000942159									
0.996617038	0.000824756									
0.997175736	0.000690183									
0.997648361	0.000575788									
0.998030325	0.000482986									
0.998342176	0.000406995									
0.99861183	0.000341133									
0.998928231	0.000263677									
0.999084958	0.000225243									
0.999210879	0.000194331									
0.999301905	0.000171968									
0.999411531	0.000145016									
0.999524571	0.000117204									
0.999582404	0.000102967									
0.999660811	8.37E-05									
0.999728057	6.71E-05									
0.999775867	5.53E-05									
0.999823253	4.36E-05									
0.999862724	3.39E-05									
0.999911406	2.19E-05									
0.999947786	1.29E-05									
0.999978507	5.31E-06									
