section2060										
0.999980695	7.32E-06									
0.999955686	1.68E-05									
0.999922866	2.92E-05									
0.999876117	4.70E-05									
0.999820351	6.81E-05									
0.999765741	8.89E-05									
0.999706194	0.000111473									
0.999651314	0.000132324									
0.999607166	0.000149106									
0.999533722	0.000177036									
0.99942789	0.000217315									
0.999325388	0.000256361									
0.999206961	0.000301517									
0.999040841	0.000364937									
0.998793412	0.000459575									
0.998511349	0.000567724									
0.998220353	0.000679601									
0.997922947	0.000794273									
0.997515784	0.000951823									
0.997057899	0.001129801									
0.996596426	0.001310067									
0.996002488	0.001543444									
0.995547629	0.001723237									
0.99499328	0.001943614									
0.994194377	0.002263594									
0.993313963	0.002619216									
0.992234525	0.00305868									
0.991022885	0.003555787									
0.989971782	0.003989964									
0.989007257	0.004390373									
0.986817842	0.005304013									
0.984716288	0.006183748									
0.983282095	0.006784267									
0.981841297	0.007386972									
0.979963315	0.008170901									
0.978094598	0.008947886									
0.976716211	0.009518148									
0.974191857	0.010554503									
0.970175943	0.012177785									
0.967004458	0.013437358									
0.962643399	0.015138783									
0.958389456	0.016765413									
0.953531899	0.018583698									
0.948562528	0.020403314									
0.942483041	0.022582619									
0.932937778	0.025921342									
0.923599773	0.029111488									
0.913593845	0.032466055									
0.900244486	0.036858312									
0.886756253	0.041211141									
0.87319963	0.045507519									
0.862570344	0.048824703									
0.853152246	0.051727198									
0.834604168	0.057336182									
0.812546658	0.063806676									
0.78769128	0.070845128									
0.768853046	0.0759917									
0.754292453	0.079852996									
0.732828759	0.085344629									
0.708112435	0.091366743									
0.6952133	0.094373019									
0.665726116	0.100868618									
0.634489246	0.107139096									
0.598834086	0.113479823									
0.561491816	0.11916848									
0.531291206	0.123042685									
0.49206161	0.127077465									
0.459552935	0.129554575									
0.421912501	0.13140933									
0.387991879	0.132103041									
0.352608963	0.13177221									
0.312578429	0.13001051									
0.276555887	0.127063608									
0.242580474	0.122968992									
0.222082457	0.119805388									
0.189150471	0.113479823									
0.162760698	0.107139096									
0.140823574	0.100868618									
0.116623458	0.092730852									
0.091034542	0.082402048									
0.067493126	0.070845128									
0.045274341	0.057336182									
0.029707488	0.045507519									
0.016280984	0.032466055									
0.010427764	0.025213789									
0.007946315	0.021599034									
0.00509123	0.016765413									
0.003444101	0.013437358									
0.002241201	0.010554503									
0.001178896	0.007386972									
0.000452086	0.004390373									
0.000165231	0.002619216									
0.000274744	-0.002480042									
0.001178896	-0.004749597									
0.002964139	-0.007093367									
0.006321402	-0.009632069									
0.011707024	-0.012140688									
0.017246855	-0.013883706									
0.024330688	-0.015489937									
0.032280553	-0.016801625									
0.040674043	-0.017814707									
0.049289403	-0.018568074									
0.060138676	-0.019213455									
0.072922053	-0.01964539									
0.087132521	-0.019808384									
0.100304868	-0.019731418									
0.118048139	-0.019363428									
0.130450924	-0.018962281									
0.142734711	-0.018468989									
0.1534316	-0.017972805									
0.17486306	-0.016824796									
0.196649347	-0.015489937									
0.237021925	-0.012698633									
0.270558714	-0.010171325									
0.302457598	-0.007661928									
0.329809383	-0.005462709									
0.354618184	-0.003450418									
0.381150817	-0.001297016									
0.412729076	0.001245648									
0.442993542	0.003639431									
0.49206161	0.00737093									
0.519407563	0.00933599									
0.561491816	0.012139106									
0.60717839	0.014797191									
0.646459669	0.016685382									
0.682509047	0.01803831									
0.715461179	0.018910514									
0.754292453	0.019434334									
0.78769128	0.019389446									
0.819780596	0.018857814									
0.8488464	0.017906649									
0.867736247	0.017014891									
0.89451168	0.015327907									
0.923599773	0.012821235									
0.932937778	0.011816628									
0.942483041	0.010668466									
0.949978014	0.009667688									
0.95497658	0.008947886									
0.960055831	0.008170901									
0.96487122	0.007386972									
0.967963544	0.006856661									
0.971412403	0.006239217									
0.974191857	0.005721106									
0.977725896	0.005035642									
0.980923014	0.004390373									
0.9848944	0.003555787									
0.988725754	0.002711121									
0.989971782	0.002426856									
0.991567781	0.002055902									
0.992688793	0.001791271									
0.993847818	0.001514718									
0.994883948	0.001264957									
0.995765264	0.001050596									
0.996169032	0.000951823									
0.996728315	0.00081445									
0.997318294	0.000668878									
0.99784497	0.000538393									
0.998292992	0.000427027									
0.998664053	0.000334552									
0.998931012	0.000267894									
0.999148667	0.000213472									
0.999294242	0.000177036									
0.999379712	0.000155631									
0.99950897	0.00012324									
0.999607166	9.86E-05									
0.999675276	8.15E-05									
0.999741252	6.50E-05									
0.999804943	4.90E-05									
0.999849684	3.78E-05									
0.999901718	2.47E-05									
0.999941209	1.48E-05									
0.999967485	8.17E-06									
0.999976251	5.97E-06									
