section2070										
0.999984185	5.84E-06									
0.999969411	1.13E-05									
0.999946662	1.97E-05									
0.999924967	2.77E-05									
0.999899928	3.70E-05									
0.999871435	4.75E-05									
0.999848018	5.62E-05									
0.999821258	6.61E-05									
0.999793806	7.62E-05									
0.999760424	8.86E-05									
0.999723748	0.000102146									
0.999683817	0.000116923									
0.999642502	0.000132215									
0.999587171	0.000152699									
0.99953486	0.00017207									
0.999473494	0.000194802									
0.999393248	0.000224537									
0.999317257	0.000252708									
0.999244998	0.000279505									
0.999174335	0.00030572									
0.999083918	0.000339278									
0.998963059	0.000384161									
0.998854028	0.000424677									
0.998719729	0.000474615									
0.998567358	0.00053132									
0.99834922	0.000612586									
0.998090997	0.000708921									
0.997825681	0.000808059									
0.997526088	0.000920204									
0.997277829	0.001013296									
0.996984607	0.001123445									
0.996622392	0.001259813									
0.99625048	0.001400189									
0.995888813	0.001537055									
0.995428034	0.001711948									
0.994820293	0.00194352									
0.994221806	0.002172556									
0.993636491	0.002397461									
0.992978885	0.002651115									
0.992310813	0.002909725									
0.991786675	0.003113241									
0.990710563	0.003532732									
0.989352577	0.004064976									
0.988204308	0.004517073									
0.9871142	0.004947542									
0.986144612	0.005331091									
0.984456753	0.005999276									
0.982635097	0.006719759									
0.980647133	0.007503687									
0.978712802	0.008262774									
0.976114534	0.009274214									
0.972721051	0.010577156									
0.96979128	0.011683541									
0.965975774	0.013099318									
0.962177974	0.014481518									
0.958983463	0.015623741									
0.955000516	0.017021952									
0.951463018	0.018240183									
0.946229731	0.020006089									
0.940350901	0.02194553									
0.933858412	0.024041466									
0.928885478	0.025618894									
0.920918313	0.028103193									
0.91388253	0.030259708									
0.906520036	0.032483662									
0.898162738	0.034971023									
0.889923099	0.037385122									
0.878809941	0.040580507									
0.864538565	0.044592181									
0.845365719	0.049813147									
0.824823378	0.055189864									
0.80307808	0.060654683									
0.786089626	0.064767541									
0.769438074	0.068675949									
0.753707276	0.07225834									
0.735070684	0.076358202									
0.707931916	0.082044192									
0.680967459	0.087328389									
0.657465217	0.091613381									
0.63288249	0.095760367									
0.602966706	0.100324255									
0.568236535	0.104942476									
0.540031208	0.108143633									
0.509947475	0.111006384									
0.483143742	0.11307055									
0.452524813	0.114860646									
0.426440309	0.115894008									
0.399653972	0.116466854									
0.369669047	0.116497881									
0.342367955	0.115935438									
0.316445926	0.114845431									
0.290939643	0.11320695									
0.265879654	0.111006384									
0.245041746	0.108690888									
0.217869284	0.104942476									
0.193633152	0.100825036									
0.16881104	0.095760367									
