section2080										
0.999984786	5.01E-06									
0.999966485	1.10E-05									
0.999934158	2.17E-05									
0.999901162	3.25E-05									
0.999875462	4.10E-05									
0.99984197	5.20E-05									
0.999812754	6.16E-05									
0.999787551	6.99E-05									
0.999760457	7.88E-05									
0.99971378	9.42E-05									
0.999656455	0.000113094									
0.999593794	0.000133734									
0.999546072	0.000149456									
0.999490876	0.000167643									
0.999431786	0.000187117									
0.99936065	0.000210564									
0.999278227	0.000237739									
0.999186589	0.00026796									
0.999082834	0.000302188									
0.998989379	0.000333027									
0.998893041	0.000364828									
0.998797778	0.000396283									
0.998677301	0.000436079									
0.99856157	0.000474322									
0.998475778	0.000502682									
0.99836649	0.00053882									
0.998245974	0.000578688									
0.998105473	0.000625188									
0.997961602	0.000672829									
0.997820668	0.000719521									
0.997670404	0.000769332									
0.997519288	0.000819454									
0.997361799	0.000871722									
0.997228584	0.000915959									
0.997061859	0.000971357									
0.996788572	0.001062246									
0.996505658	0.001156447									
0.996235193	0.001246611									
0.995973042	0.001334107									
0.995708161	0.00142262									
0.995412973	0.001521387									
0.995075204	0.001634568									
0.994655152	0.001775572									
0.994123459	0.001954451									
0.993663561	0.002109527									
0.993186934	0.002270572									
0.992642984	0.002454741									
0.992042122	0.002658611									
0.991361243	0.002890138									
0.990699559	0.003115597									
0.990151938	0.003302483									
0.989439001	0.003546106									
0.988649171	0.00381631									
0.987797799	0.004107769									
0.986906318	0.004413003									
0.985901579	0.004756848									
0.98480953	0.005130104									
0.983395811	0.005612188									
0.981665188	0.00620004									
0.979679555	0.006870663									
0.97754652	0.007585657									
0.97562065	0.008225778									
0.973884243	0.008798145									
0.971991252	0.009416679									
0.969527485	0.010212839									
0.966522794	0.011169722									
0.962220036	0.012512288									
0.956513251	0.014243157									
0.952286119	0.015490079									
0.948599935	0.016555272									
0.944461397	0.017730026									
0.93937379	0.019147519									
0.931576271	0.021265271									
0.925537338	0.02286057									
0.919306854	0.024469587									
0.911922083	0.026333515									
0.904086355	0.028261608									
