section020										

0.999978432	7.13E-06									
0.999963469	1.21E-05									
0.999946479	1.77E-05									
0.999916468	2.76E-05									
0.999884888	3.81E-05									
0.99984998	4.96E-05									
0.999812154	6.21E-05									
0.99976693	7.71E-05									
0.999716918	9.37E-05									
0.999634415	0.000121009									
0.999538765	0.000152727									
0.999435722	0.000186926									
0.999296916	0.000233039									
0.99916241	0.000277775									
0.999029087	0.000322169									
0.998727116	0.000422912									
0.998443132	0.000517905									
0.998196458	0.000600622									
0.997876434	0.00070823									
0.997480023	0.000842002									
0.997105892	0.000968763									
0.9965702	0.001151162									
0.995941059	0.001366802									
0.995256442	0.00160329									
0.994517927	0.001860612									
0.993761689	0.002126505									
0.992986908	0.002401322									
0.99196258	0.002767974									
0.990343067	0.003355185									
0.988814841	0.003917984									
0.987600559	0.004370882									
0.986065572	0.004949712									
0.983576491	0.005900414									
0.981350746	0.00676059									
0.978362486	0.007926838									
0.975769719	0.008945907									
0.972934639	0.010064103									
0.969430517	0.011447975									
0.965849056	0.012864227									
0.961321037	0.01465934									
0.956553622	0.016553674									
0.950793298	0.018841863									
0.944812993	0.021213794									
0.934083726	0.025467472									
0.924604001	0.029231272									
0.917681602	0.031986213									
0.904919887	0.037083317									
0.89046494	0.042880139									
0.872907881	0.049932763									
0.856537565	0.056499225									
0.840579214	0.062875985									
0.819574832	0.071197681									
0.793166508	0.08147208									
0.765444438	0.091946578									
0.7363715	0.102497935									
0.711019516	0.111271324									
0.681754377	0.120828263									
0.640703868	0.133034324									
0.604290207	0.142537713									
0.563895983	0.151513797									
0.519504656	0.159391097									
0.477196858	0.164902303									
0.424489267	0.168976335									
0.369385501	0.169798704									
0.320975223	0.167477934									
0.273718481	0.162337873									
0.214616909	0.151513797									
0.169650759	0.139261704									
0.143002195	0.129946057									
0.12092049	0.120828263									
0.100967685	0.111271324									
0.084943924	0.102497935									
0.068081525	0.091946578									
0.053578799	0.08147208									
0.041259139	0.071197681									
0.032536969	0.062875985									
0.026575036	0.056499225									
0.015838043	0.042880139									
0.010471466	0.034341563									
0.007762828	0.029231272									
0.004287198	0.021213794									
0.002708339	0.016553674									
0.001074626	0.010064103									
0.000509297	0.00676059									
0.000280941	0.004949712									
3.38E-05	0.001712637									
6.94E-05	-0.002290883									
0.000313989	-0.004717932									
0.000692837	-0.006859391									
0.001619554	-0.010061284									
0.002708339	-0.012407587									
0.004287198	-0.01471371									
0.006333481	-0.016892241									
0.008672705	-0.018818801									
0.011495338	-0.020688869									
0.015838043	-0.022996995									
0.021033448	-0.025183407									
0.026575036	-0.027043504									
0.035313371	-0.029338984									
0.045245811	-0.031341209									
0.054681555	-0.032828706									
0.064597265	-0.034055864									
0.079944056	-0.035439504									
0.100967685	-0.036591785									
0.116585735	-0.037031263									
0.131142262	-0.037190212									
0.157246907	-0.036994396									
0.186963258	-0.036190669									
0.238358282	-0.033772004									
0.287153299	-0.030655663									
0.320975223	-0.02817478									
0.358561893	-0.025198839									
0.404082997	-0.021372834									
0.454760217	-0.016931076									
0.505254069	-0.012441851									
0.540827977	-0.009331333									
0.572317197	-0.006673094									
0.604290207	-0.004101745									
0.633017636	-0.001921807									
0.660623331	4.57E-05									
0.689681811	0.001965644									
0.711019516	0.003261171									
0.7363715	0.004664085									
0.765444438	0.006064566									
0.799369931	0.007368668									
0.819574832	0.007948283									
0.856537565	0.008544949									
0.89046494	0.008471144									
0.904919887	0.00821015									
0.914531925	0.007948226									
0.929581143	0.007359674									
0.938302957	0.006906688									
0.947296939	0.006338757									
0.953884991	0.005848692									
0.961321037	0.005211746									
0.967096449	0.004651625									
0.972934639	0.004022181									
0.975769719	0.003691407									
0.978362486	0.003373466									
0.98022219	0.003135876									
0.982181607	0.002876502									
0.983576491	0.002685952									
0.985414662	0.002426986									
0.986792806	0.002226689									
0.988814841	0.001922405									
0.98981303	0.001766897									
0.990758722	0.001616013									
0.99196258	0.001418849									
0.992986908	0.001246738									
0.993761689	0.001114095									
0.994517927	0.00098282									
0.995256442	0.000853148									
0.995941059	0.000731855									
0.9965702	0.000619633									
0.997105892	0.000523608									
0.997430003	0.000465331									
0.997876434	0.000384871									
0.998196458	0.000327074									
0.998443132	0.000282465									
0.998727116	0.000231051									
0.999029087	0.00017632									
0.99916241	0.000152137									
0.999296916	0.00012773									
0.999435722	0.000102532									
0.999538765	8.38E-05									
0.999634415	6.64E-05									
0.999716918	5.15E-05									
0.999763437	4.30E-05									
0.999812154	3.41E-05									
0.99984998	2.73E-05									
0.999884888	2.09E-05									
0.999916468	1.52E-05									
0.999946479	9.73E-06									
0.99996079	7.13E-06									
0.999978432	3.92E-06									
