section2035										
0.99957704	0.000162817									
0.998712651	0.000497143									
0.997764095	0.000866713									
0.996772345	0.001256472									
0.995809185	0.001638615									
0.994774676	0.002053302									
0.993798176	0.002448788									
0.992761136	0.002872726									
0.991508549	0.003389328									
0.989905958	0.00405706									
0.988322922	0.004723126									
0.986967286	0.00529738									
0.985262994	0.006022614									
0.983603461	0.006730921									
0.981636241	0.007571757									
0.979341871	0.008552332									
0.976595624	0.009722955									
0.973446526	0.011057027									
0.97064117	0.012235338									
0.965463007	0.014382977									
0.960621757	0.016358573									
0.955884075	0.018261747									
0.950854789	0.020249878									
0.946390265	0.021988864									
0.940556896	0.024228152									
0.933565421	0.026870775									
0.926894248	0.029360262									
0.918441623	0.03248168									
0.909931745	0.035596449									
0.899975075	0.039202652									
0.887054917	0.043824234									
0.873393244	0.04866065									
0.861574861	0.05280001									
0.847597504	0.057632967									
0.830290403	0.063513831									
0.8090555	0.070566017									
0.789463008	0.076903219									
0.759162761	0.086347853									
0.730771041	0.094765348									
0.701698884	0.102910832									
0.670983532	0.110938213									
0.641960592	0.117916133									
0.60353163	0.126175171									
0.559903222	0.134135495									
0.508781005	0.141483292									
0.452696352	0.147004189									
0.403190086	0.149524144									
0.350603042	0.149524144									
0.303185114	0.146952725									
0.25323005	0.141483292									
0.209875493	0.134135495									
0.175502893	0.126175171									
0.136487521	0.114282696									
0.107307949	0.102910832									
0.086276967	0.092996811									
0.068325514	0.083050908									
0.058551772	0.076903219									
0.049413686	0.070566017									
0.040275611	0.063513831									
0.031358318	0.055733846									
0.024243116	0.04866065									
0.019903938	0.043824234									
0.013492201	0.035596449									
0.00943817	0.029360262									
0.006620863	0.024228152									
0.003353288	0.016730743									
0.001888928	0.012235338									
0.000782071	0.007571757									
0.000244019	0.00405706									
4.02E-05	0.001638615									
8.33E-05	-0.002082867									
0.000466248	-0.004811745									
0.001072128	-0.007135115									
0.002497019	-0.010350108									
0.00447826	-0.012898777									
0.007432014	-0.015253229									
0.0116522	-0.017512842									
0.017173186	-0.01960158									
0.022657684	-0.021188393									
0.028691129	-0.022572684									
0.033819911	-0.023528509									
0.039643839	-0.024420536									
0.046001897	-0.025207886									
0.051327507	-0.025746406									
0.058551772	-0.026331142									
0.065334198	-0.026751523									
0.072786998	-0.027093069									
0.080964458	-0.027344868									
0.08562245	-0.027437883									
0.099568905	-0.027529355									
0.119945146	-0.027252532									
0.136487521	-0.026748533									
0.164104423	-0.025488447									
0.189391541	-0.023988609									
0.219806017	-0.021867157									
0.247991875	-0.019674655									
0.264188074	-0.018340798									
0.303185114	-0.014968566									
0.325826804	-0.012935629									
0.368286526	-0.009038183									
0.403190086	-0.005796495									
