section2050										
0.999858597	5.42E-05									
0.999594831	0.000155564									
0.99927268	0.00027958									
0.999001528	0.000384197									
0.998579677	0.0005474									
0.998058162	0.000749947									
0.997382289	0.001013825									
0.99677971	0.001250493									
0.996004875	0.001556896									
0.994924192	0.001988369									
0.993752731	0.002461573									
0.992369419	0.003026893									
0.990856373	0.003651889									
0.988663136	0.00456793									
0.986042345	0.005671585									
0.983588486	0.006707945									
0.980944148	0.007824768									
0.977308752	0.009355218									
0.973236402	0.011052087									
0.96893783	0.012813939									
0.963237976	0.015101196									
0.955818884	0.017995839									
0.943482062	0.022620497									
0.930789912	0.027202089									
0.914196371	0.033012994									
0.896744065	0.038978096									
0.879901976	0.044610677									
0.862789015	0.050223679									
0.841910018	0.05692039									
0.817860377	0.064421065									
0.786230423	0.073898595									
0.756133323	0.082482727									
0.727666608	0.09017786									
0.688817817	0.099954177									
0.638301607	0.111232151									
0.586523962	0.120929073									
0.535364977	0.128557498									
0.481471144	0.134433085									
0.433092181	0.137741627									
0.388829919	0.139027808									
0.343262149	0.13845978									
0.301845064	0.136150627									
0.251887578	0.130912974									
0.212430675	0.124592971									
0.17850205	0.117285756									
0.148490556	0.109097396									
0.127579111	0.102249584									
0.106561444	0.094245346									
0.089404649	0.086701071									
0.077211	0.080666672									
0.064913352	0.073898595									
0.049836406	0.064421065									
0.039482945	0.05692039									
0.031307184	0.050223679									
0.021796694	0.041194194									
0.016377597	0.035162195									
0.011594534	0.029004195									
0.008045274	0.023629129									
0.006505209	0.020966535									
0.004383157	0.016793599									
0.002703061	0.012813939									
0.001786158	0.010173642									
0.00083921	0.006707945									
0.000186376	0.003026893									
2.91E-05	0.001250493									
5.55E-05	-0.001312825									
0.0002057	-0.00244383									
0.000631515	-0.004107584									
0.001346007	-0.005832768									
0.002703061	-0.007989497									
0.004106287	-0.00956189									
0.006505209	-0.011492366									
0.009688372	-0.013295053									
0.013507516	-0.014887055									
0.017387047	-0.016140778									
0.021796694	-0.017296511									
0.026214082	-0.018252834									
0.033119485	-0.019449855									
0.039482945	-0.020310838									
0.045955713	-0.021004471									
0.053371185	-0.021619219									
0.059791395	-0.022024787									
0.06594936	-0.022321559									
0.075851602	-0.022638786									
0.088381792	-0.022807247									
0.104527718	-0.022725818									
0.119041598	-0.022429049									
0.133058167	-0.021978869									
0.146376263	-0.021429181									
0.164676374	-0.020515851									
0.18099097	-0.019574916									
0.200437912	-0.018327655									
0.230027222	-0.016227251									
0.261053652	-0.013834677									
0.292069507	-0.011312275									
0.317571921	-0.009174169									
0.35226552	-0.006213113									
0.39610893	-0.00244383									
0.437283362	0.001064992									
0.477069767	0.004370438									
0.510615755	0.007044093									
0.535364977	0.008917949									
0.566213286	0.011100023									
0.596788519	0.013069366									
0.62473329	0.014666208									
0.645786264	0.015729254									
0.68118094	0.017216448									
0.697835441	0.017776461									
0.722290308	0.018415317									
0.743970468	0.018784982									
0.769015047	0.018975713									
0.791384907	0.018915183									
0.817860377	0.018525545									
0.837096158	0.018004375									
0.856478542	0.017264851									
0.872460726	0.016478989									
0.890445233	0.015379695									
0.90681635	0.014150024									
0.92167459	0.012813939									
0.930789912	0.011875737									
0.940203254	0.010793325									
0.948187081	0.009768063									
0.955818884	0.008690063									
0.961493636	0.007824768									
0.967265049	0.006879089									
0.97288422	0.005887396									
0.97654429	0.005202139									
0.980558941	0.004413493									
0.983588486	0.003791919									
0.986042345	0.003271059									
0.988663136	0.002696751									
0.990694046	0.002237811									
0.992369419	0.001850111									
0.993752731	0.001524606									
0.994830519	0.001267741									
0.995884187	0.001013825									
0.996563122	0.000848828									
0.997382289	0.000648431									
0.998058162	0.000482098									
0.998547667	0.000361124									
0.999001528	0.000248607									
0.99927268	0.000181234									
0.999594831	0.00010105									
0.999858597	3.53E-05									
