section2095										
0.999971446	7.64E-06									
0.999900469	2.66E-05									
0.999823766	4.71E-05									
0.999661956	9.04E-05									
0.999438964	0.000150019									
0.999201304	0.000213568									
0.998946442	0.000281717									
0.998516245	0.000396745									
0.998076397	0.000514346									
0.997641384	0.000630643									
0.997140727	0.00076447									
0.996498945	0.000935974									
0.996013031	0.00106578									
0.99546959	0.001210893									
0.994613709	0.001439263									
0.993689996	0.001685416									
0.992563482	0.001985021									
0.991464101	0.002276601									
0.990327241	0.002577065									
0.988863133	0.002962156									
0.986208351	0.003654643									
0.983836307	0.0042672									
0.981063859	0.004975979									
0.978053515	0.005736779									
0.974600873	0.006596347									
0.969765748	0.007773479									
0.964059955	0.009119034									
0.957716338	0.010558674									
0.951785639	0.01185664									
0.946124021	0.013054984									
0.939170766	0.014471233									
0.928069479	0.016608672									
0.914286823	0.019062361									
0.902844734	0.020935418									
0.878907212	0.024372108									
0.856707514	0.026986951									
0.837372693	0.02879585									
0.819419585	0.0300834									
0.794066056	0.031428474									
0.763261226	0.03270494									
0.733263026	0.033829736									
0.69748356	0.03510821									
0.648217097	0.036675741									
0.594837333	0.038105313									
0.520021775	0.039591455									
0.457866894	0.040346866									
0.400542802	0.040630474									
0.35414659	0.040547334									
0.305766859	0.040130285									
0.244884045	0.039046128									
0.187077743	0.037319934									
0.13709856	0.035136979									
0.087942646	0.032191551									
0.050389685	0.029089256									
0.03500666	0.027783284									
0.023950246	0.026155185									
0.015974145	0.023571966									
0.011289739	0.020935418									
0.008901207	0.019062361									
0.007116055	0.017332524									
0.005395644	0.015297427									
0.003861428	0.013054984									
0.003169436	0.01185664									
0.002508884	0.010558674									
0.001373302	0.007773479									
0.00099903	0.006596347									
0.000425316	0.004232004									
0.00016074	0.002577065									
6.78E-05	0.001685416									
0.00016609	-0.002455684									
0.000598467	-0.004607925									
0.001266957	-0.006700073									
0.002508884	-0.009389488									
0.003861428	-0.011570361									
0.005395644	-0.013550389									
0.007116055	-0.015364687									
0.008901207	-0.016916124									
0.011289739	-0.018593292									
0.014426911	-0.020270743									
0.017629342	-0.021505514									
0.021169653	-0.022462103									
0.025275223	-0.023181347									
0.02804823	-0.023485516									
0.03094088	-0.023686289									
0.03409558	-0.023802463									
0.044040585	-0.023802463									
0.05837918	-0.023802463									
0.077329897	-0.023931104									
0.096162342	-0.02389575									
0.111855752	-0.023828534									
0.132776972	-0.023720814									
0.157893402	-0.023542628									
0.187077743	-0.023282491									
0.22031458	-0.022949968									
0.247190035	-0.022659698									
0.282072069	-0.022264158									
0.314845172	-0.021881255									
0.35414659	-0.021416568									
0.379077617	-0.021122285									
0.421443696	-0.020629689									
0.457866894	-0.020220271									
0.496976874	-0.01980254									
0.535821769	-0.019416147									
0.576065542	-0.019052832									
0.619125407	-0.018719768									
0.662214774	-0.018449469									
0.71163821	-0.018238849									
0.742711399	-0.018175664									
0.7770171	-0.018184976									
0.801474143	-0.018142775									
0.828258937	-0.017805514									
0.843032287	-0.017353889									
0.856707514	-0.016727725									
0.878907212	-0.015316647									
0.902844734	-0.013282778									
0.914286823	-0.012124112									
0.928069479	-0.010574629									
0.939170766	-0.00920111									
0.946124021	-0.008286084									
0.951785639	-0.007513343									
0.957716338	-0.006679333									
0.964059955	-0.005759893									
0.971378697	-0.0046619									
0.97687009	-0.003810438									
0.981063859	-0.003145907									
0.983836307	-0.002701215									
0.985589503	-0.002417569									
0.988299518	-0.00197456									
0.990327241	-0.001638798									
0.991975364	-0.001363099									
0.992980454	-0.001193862									
0.993689996	-0.001073958									
0.994613709	-0.000917419									
0.99546959	-0.00077203									
0.996013031	-0.000679586									
0.996498945	-0.000596863									
0.997070309	-0.000499532									
0.997641384	-0.000402204									
0.998076397	-0.000328041									
0.998516245	-0.000253042									
0.998946442	-0.000179679									
0.999201304	-0.000136214									
0.999457527	-9.25E-05									
0.999661956	-5.77E-05									
0.999823766	-3.01E-05									
0.999900469	-1.70E-05									
0.999971446	-4.87E-06									
