section2090										
0.999843162	4.52E-05									
0.999671991	9.45E-05									
0.999436095	0.000162431									
0.999021177	0.000281972									
0.998592048	0.00040563									
0.998083239	0.000552284									
0.997583884	0.000696252									
0.996991483	0.0008671									
0.996413317	0.001033906									
0.995839947	0.001199393									
0.995104935	0.001411639									
0.99398893	0.001734145									
0.992778591	0.002084255									
0.991318736	0.002506884									
0.98977173	0.002954614									
0.988280864	0.003385347									
0.986558938	0.003881264									
0.983012219	0.004895062									
0.979851881	0.005787274									
0.975135362	0.007095417									
0.971107217	0.008187855									
0.966241724	0.009475623									
0.961527112	0.010690259									
0.95654823	0.011937997									
0.950702468	0.013358323									
0.942483745	0.015277991									
0.932238425	0.017553613									
0.919286847	0.020257917									
0.904003613	0.023219232									
0.889849315	0.025748411									
0.876088449	0.028016194									
0.860387492	0.030374663									
0.83903781	0.033172296									
0.819302144	0.035331983									
0.791717387	0.03784408									
0.76145092	0.040249487									
0.720432489	0.043256703									
0.659185863	0.047263834									
0.581236929	0.051320996									
0.504445069	0.054068016									
0.436275361	0.055408887									
0.371055054	0.055646771									
0.303867009	0.054691241									
0.24839535	0.052815574									
0.222485038	0.051543579									
0.190508302	0.049575033									
0.156987558	0.046972329									
0.123493559	0.043716176									
0.089197333	0.039553088									
0.063354456	0.035663644									
0.042089257	0.03185024									
0.030440728	0.029544202									
0.021249231	0.026863907									
0.013735253	0.023219232									
0.009764327	0.020257917									
0.005639206	0.015800418									
0.00399431	0.013358323									
0.003189728	0.011937997									
0.002028033	0.009475623									
0.000787197	0.005787274									
0.000154588	0.002506884									
1.70E-05	0.0008671									
4.64E-05	-0.001255938									
0.00037148	-0.003377348									
0.000962933	-0.005348839									
0.002499285	-0.008484619									
0.004608014	-0.011357995									
0.007407715	-0.014160342									
0.009764327	-0.015978763									
0.013735253	-0.018277071									
0.017313276	-0.019738173									
0.021249231	-0.020854809									
0.024612766	-0.021515533									
0.028218416	-0.021994392									
0.033543803	-0.02239044									
0.039753398	-0.022558661									
0.045777686	-0.022593924									
0.055019336	-0.022660487									
0.067275943	-0.022798659									
0.080829763	-0.022873616									
0.091796097	-0.022847388									
0.107278464	-0.022745095									
0.123493559	-0.022598549									
0.144060021	-0.022347011									
0.181173896	-0.02174585									
0.242810652	-0.020509963									
0.294639312	-0.019351495									
0.345153353	-0.018182566									
0.391803862	-0.017102967									
0.436275361	-0.016097939									
0.484240761	-0.015064177									
0.542944861	-0.013907534									
0.596427883	-0.013001297									
0.659185863	-0.012172711									
0.728023126	-0.011649871									
0.768656023	-0.011595545									
0.804775517	-0.011614281									
0.825581479	-0.011483147									
0.840899254	-0.011217594									
0.855805959	-0.010786428									
0.87326796	-0.010070689									
0.886042411	-0.009419272									
0.901657042	-0.008484619									
0.913650006	-0.007667795									
0.926705939	-0.006688366									
0.937073516	-0.005848511									
0.945908391	-0.00509302									
0.95654823	-0.004141492									
0.962412489	-0.003602194									
0.968600533	-0.003026302									
0.973937956	-0.002522741									
0.977957838	-0.00213795									
0.980744617	-0.001870176									
0.983969022	-0.001561275									
0.986558938	-0.001313111									
0.988280864	-0.001147317									
0.98977173	-0.001002894									
0.991899648	-0.000795154									
0.99398893	-0.000589433									
0.995104935	-0.000479241									
0.995999273	-0.000391061									
0.99682451	-0.000309893									
0.997392141	-0.000254202									
0.998083239	-0.000186567									
0.998592048	-0.000136895									
0.999021177	-9.51E-05									
0.999436095	-5.47E-05									
0.999671991	-3.18E-05									
0.999843162	-1.52E-05									
