section100										
0.99999011	2.42E-06									
0.999973634	6.45E-06									
0.999949634	1.23E-05									
0.999915788	2.06E-05									
0.999884397	2.83E-05									
0.99984712	3.74E-05									
0.999805146	4.77E-05									
0.999765049	5.75E-05									
0.999729856	6.61E-05									
0.99968435	7.72E-05									
0.999610231	9.53E-05									
0.999503581	0.000121426									
0.999416544	0.000142718									
0.999323523	0.000165475									
0.999159315	0.000205648									
0.998912617	0.000266004									
0.998640112	0.000332676									
0.998384989	0.000395095									
0.998148131	0.000453044									
0.997917255	0.000509525									
0.997679653	0.000567646									
0.997435321	0.000627404									
0.997122135	0.000703986									
0.996670598	0.000814352									
0.996098948	0.000953969									
0.995429748	0.001117191									
0.994801376	0.001270155									
0.994005221	0.001463395									
0.993200692	0.001657824									
0.992395849	0.001851273									
0.991479932	0.002070044									
0.990326951	0.00234342									
0.988962845	0.002664226									
0.987355816	0.003039228									
0.985759776	0.003409364									
0.983940508	0.003828522									
0.982085744	0.004252613									
0.978421131	0.005080192									
0.97449722	0.005948993									
0.970159612	0.006885903									
0.966737389	0.00760709									
0.962763215	0.008424696									
0.958525957	0.009273032									
0.954292523	0.010096731									
0.949963127	0.010914954									
0.944548364	0.011906225									
0.938260008	0.013015414									
0.931066147	0.014224677									
0.924887419	0.015208512									
0.919444607	0.016035447									
0.910271728	0.017350132									
0.900932581	0.018579669									
0.890630399	0.019805213									
0.873243658	0.021587637									
0.863295744	0.022437428									
0.843249167	0.023761058									
0.825942247	0.024474273									
0.810146859	0.0248187									
0.794944502	0.024964714									
0.776581615	0.025016748									
0.758909786	0.025007884									
0.738477878	0.024992407									
0.717493554	0.024995011									
0.698165557	0.025000515									
0.678285683	0.025002363									
0.66282355	0.025002281									
0.643219757	0.025001147									
0.622235228	0.02499995									
0.60042246	0.025001003									
0.5813708	0.025002719									
0.554311998	0.025003695									
0.527805255	0.025001476									
0.50626875	0.024999632									
0.48362762	0.024999413									
0.462116016	0.025000131									
0.431466035	0.025001284									
0.395599045	0.025001609									
0.355167239	0.025000697									
0.316365659	0.024999416									
0.278216229	0.024999711									
0.243001427	0.025002423									
0.217894537	0.025003771									
0.187570613	0.02500234									
0.159203161	0.025004522									
0.13377003	0.025000501									
0.110624499	0.02499655									
0.083670767	0.025028445									
0.054023577	0.024928049									
0.041422206	0.025087116									
0.034302342	0.025198262									
0.027172102	0.024952658									
0.02006146	0.023897091									
0.013283674	0.021503185									
0.009446058	0.019093715									
0.007423707	0.017350132									
0.005468491	0.015208512									
0.00421242	0.013503409									
0.002981236	0.011463901									
0.002116577	0.00969601									
0.00130631	0.00760709									
0.00059792	0.005080192									
0.000279877	0.003409364									
0.000105977	0.002070044									
3.16E-05	0.001117191									
7.11E-06	0.000509525									
8.44E-06	-0.000663797									
6.46E-05	-0.001697813									
0.000279877	-0.003463512									
0.00059792	-0.005099189									
0.000887898	-0.006242739									
0.00130631	-0.007599367									
0.002116577	-0.009686206									
0.002981236	-0.011455702									
0.00421242	-0.013495828									
0.005468491	-0.015200345									
0.007423707	-0.017341759									
0.009446058	-0.019086884									
0.012013202	-0.020809187									
0.015156416	-0.022354097									
0.018927381	-0.023610653									
0.022357564	-0.024359135									
0.025908712	-0.024837703									
0.029466575	-0.025093776									
0.033116803	-0.02519161									
0.039199119	-0.025133662									
0.04454198	-0.02501557									
0.050623652	-0.024939017									
0.063962425	-0.024964827									
